run_id,run_number,run_attempt,run_url,commit_sha,commit_message,status,timestamp,completed_at,workflow_duration_seconds,queue_duration_seconds,lead_time_seconds,scenario,execution_mode,test_count,test_failures,test_average_seconds,active_job_count,critical_job_duration_seconds,install_duration_seconds,lint_duration_seconds,test_duration_seconds,artifact_size_bytes,cache_saved_seconds_estimate,failure_type,attempts_until_green
27102177249,14,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102177249,90539993a377a89ff4a08b1f7c10e2d809bb87e7,Adapta experimento para base livre sampleproject,success,2026-06-07T19:15:30Z,2026-06-07T19:16:06Z,36.0,2.0,39.0,baseline-pass,parallel,9,0,0.003,3,28.0,20.019,0.03,0.499,2423,0.0,none,1
27102184396,15,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102184396,1af706bbc56a00823898d3c3492a2ca93453f996,Mede cache na base sampleproject,success,2026-06-07T19:15:48Z,2026-06-07T19:16:17Z,29.0,2.0,32.0,baseline-cache-hit,parallel,9,0,0.003,3,21.0,15.039,0.026,0.47,2444,3.73,none,1
27102188950,16,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102188950,1efa7f87a6e6c1800574c23b8376ca8b59c33375,Aumenta testes na base sampleproject,success,2026-06-07T19:16:02Z,2026-06-07T19:16:35Z,33.0,2.0,37.0,more-tests-25,parallel,34,0,0.001,3,25.0,14.618,0.028,0.705,2556,2.38,none,1
27102195431,17,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102195431,4ac81980e582e5a10df9710c8023b40b47d6d5b6,Adiciona teste lento na base sampleproject,success,2026-06-07T19:16:18Z,2026-06-07T19:16:51Z,33.0,2.0,36.0,slow-test-1500ms,parallel,9,0,0.17,3,25.0,15.882,0.023,2.053,2439,2.973,none,1
27102200902,18,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102200902,ece32a4901ce040c669569e23b00b51d96b19e14,Registra falha controlada na base sampleproject,failure,2026-06-07T19:16:31Z,2026-06-07T19:17:07Z,36.0,2.0,39.0,controlled-failure,parallel,9,1,0.004,3,26.0,14.517,0.027,0.592,2792,5.236,test,1
27102206525,19,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102206525,db4fa6241fa2588a0fdfc595cb17423e271fcf3d,Restaura pipeline verde da base sampleproject,success,2026-06-07T19:16:44Z,2026-06-07T19:17:19Z,35.0,2.0,38.0,recovery-pass,parallel,9,0,0.003,3,25.0,14.615,0.023,0.372,2407,5.554,none,2
27102213090,20,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102213090,055a33ee7684e385980d743bf36cf6abc84a23bb,Altera cache da base sampleproject,success,2026-06-07T19:17:01Z,2026-06-07T19:17:33Z,32.0,2.0,35.0,cache-bust,parallel,9,0,0.003,3,25.0,16.929,0.03,0.563,2392,0.0,none,1
27102218632,21,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102218632,3054ba3ad5021960c6c474470231e04267f93357,Compara modo sequencial na base sampleproject,success,2026-06-07T19:17:15Z,2026-06-07T19:17:47Z,32.0,2.0,35.0,sequential-baseline,sequential,9,0,0.004,2,24.0,16.985,0.027,0.593,1533,0.0,none,1
27102223129,22,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102223129,f3eedcfec9a872def7cacd3953db1eaee0077668,Combina sequencial e teste lento na base sampleproject,success,2026-06-07T19:17:27Z,2026-06-07T19:18:05Z,38.0,2.0,41.0,sequential-slow,sequential,9,0,0.17,2,30.0,15.227,0.028,2.022,1544,1.495,none,1
27102228786,23,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102228786,de16176b9898290d7ee639737e6d0929e9254486,Aumenta carga paralela na base sampleproject,success,2026-06-07T19:17:42Z,2026-06-07T19:18:17Z,35.0,4.0,38.0,parallel-more-tests-60,parallel,69,0,0.001,3,24.0,14.257,0.03,0.335,2715,2.677,none,1
27102235236,24,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102235236,cb7ba4ed74cd51ba371ea848d1dd3ede56f8803d,Reaproveita cache da base sampleproject,success,2026-06-07T19:17:59Z,2026-06-07T19:18:33Z,34.0,2.0,37.0,cache-hit-after-bust,parallel,9,0,0.003,3,26.0,15.623,0.027,0.492,2409,1.142,none,1
27102240744,25,1,https://github.com/NicolasRamonm/ponderada-hermano-03-06/actions/runs/27102240744,a6c104201191cbb7ea03a8ff47eb4f9694699687,Finaliza serie da base sampleproject,success,2026-06-07T19:18:13Z,2026-06-07T19:18:50Z,37.0,2.0,40.0,final-green,parallel,19,0,0.002,3,27.0,15.39,0.028,0.403,2470,2.782,none,1
